PARTIDO,SIGLA,NUMERO
MOVIMENTO DEMOCRÁTICO BRASILEIRO,MDB,15
PARTIDO DOS TRABALHADORES,PT,13
PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,45
PROGRESSISTAS,PP,11
PARTIDO DEMOCRÁTICO TRABALHISTA,PDT,12
PARTIDO TRABALHISTA BRASILEIRO,PTB,14
DEMOCRATAS,DEM,25
PARTIDO DA REPÚBLICA,PR,22
PARTIDO SOCIALISTA BRASILEIRO,PSB,40
PARTIDO POPULAR SOCIALISTA,PPS,23
PARTIDO SOCIAL CRISTÃO,PSC,20
PARTIDO REPUBLICANO BRASILEIRO,PRB,10
PARTIDO COMUNISTA DO BRASIL,PC do B,65
PARTIDO VERDE,PV,43
PARTIDO SOCIAL DEMOCRÁTICO,PSD,55
PARTIDO REPUBLICANO PROGRESSISTA,PRP,44
PARTIDO SOCIAL LIBERAL,PSL,17
PARTIDO DA MOBILIZAÇÃO NACIONAL,PMN,33
PARTIDO HUMANISTA DA SOLIDARIEDADE,PHS,31
SOLIDARIEDADE,SD,77
PARTIDO TRABALHISTA CRISTÃO,PTC,36
AVANTE,AVANTE,70
DEMOCRACIA CRISTÃ,DC,27
PODEMOS,PODE,19
PARTIDO SOCIALISMO E LIBERDADE,PSOL,50
PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,PRTB,28
PARTIDO REPUBLICANO DA ORDEM SOCIAL,PROS,90
PATRIOTA,PATRI,51
PARTIDO DA MULHER BRASILEIRA,PMB,35
PARTIDO PÁTRIA LIVRE,PPL,54
PARTIDO NOVO,NOVO,30
REDE SUSTENTABILIDADE,REDE,18
PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,PSTU,16
PARTIDO COMUNISTA BRASILEIRO,PCB,21
PARTIDO DA CAUSA OPERÁRIA,PCO,29
